SpoolID,Start Date,Processing Time in Days,Finish Date,Due Date,Processing Time,Required Resources,8,Processing time in days = Processign time/8,,,,,Required resources = random number between 2 and 4 inclusive
631002111,4/30/2020,1.400506563,5/1/2020,5/11/2020,11.2040525,3,,,,,,,
631002112,4/21/2020,2.169228125,4/23/2020,5/15/2020,17.353825,3,,,,,,,
631002113,4/27/2020,2.349738125,4/29/2020,5/15/2020,18.797905,4,,,,,,,
631003001,1/16/2020,2.324918,1/18/2020,2/7/2020,18.599344,2,,,,,,,
631003002,1/16/2020,2.324918,1/18/2020,2/14/2020,18.599344,2,,,,,,,
631003003,5/12/2020,1.223134167,5/13/2020,6/16/2020,9.785073333,3,,,,,,,
631003004,4/24/2020,6.162459,4/30/2020,5/5/2020,49.299672,4,,,,,,,
631003005,2/20/2020,5.4783515,2/25/2020,3/25/2020,43.826812,3,,,,,,,
631003008,1/16/2020,1.13975,1/17/2020,3/12/2020,9.118,4,,,,,,,
631003009,5/12/2020,1.39260925,5/13/2020,7/14/2020,11.140874,3,,,,,,,
631003010,5/12/2020,2.25722675,5/14/2020,6/12/2020,18.057814,2,,,,,,,
631003011,5/8/2020,2.25722675,5/10/2020,5/19/2020,18.057814,3,,,,,,,
631003012,5/8/2020,9.39260925,5/17/2020,5/29/2020,75.140874,2,,,,,,,
631003013,5/12/2020,7.054153,5/19/2020,7/22/2020,56.433224,3,,,,,,,
631003014,5/12/2020,1.595683,5/13/2020,7/22/2020,12.765464,4,,,,,,,
631003015,5/1/2020,3.426454875,5/4/2020,6/2/2020,27.411639,3,,,,,,,
631003016,2/21/2020,9.25722675,3/1/2020,3/20/2020,74.057814,2,,,,,,,
631003017,4/28/2020,1.1895355,4/29/2020,5/15/2020,9.516284,2,,,,,,,
631003018,4/28/2020,1.10062,4/29/2020,5/27/2020,8.80496,3,,,,,,,
631003019,4/28/2020,1.306867,4/29/2020,5/14/2020,10.454936,4,,,,,,,
631003020,5/1/2020,3.15721875,5/4/2020,6/24/2020,25.25775,2,,,,,,,
631003021,2/11/2020,1.366660938,2/12/2020,5/19/2020,10.9332875,2,,,,,,,
631003022,5/1/2020,5.811166813,5/6/2020,6/2/2020,46.4893345,4,,,,,,,
631003023,1/16/2020,1.569734688,1/17/2020,2/19/2020,12.5578775,2,,,,,,,
631003024,5/6/2020,1.507684375,5/7/2020,6/2/2020,12.061475,4,,,,,,,
631003025,5/8/2020,6.327174375,5/14/2020,5/25/2020,50.617395,3,,,,,,,
631003026,2/4/2020,1.169228125,2/5/2020,2/19/2020,9.353825,3,,,,,,,
631003027,1/16/2020,8.084614063,1/24/2020,2/19/2020,64.6769125,2,,,,,,,
631003028,1/16/2020,2.084614063,1/18/2020,2/19/2020,16.6769125,3,,,,,,,
631003029,1/21/2020,2.812295,1/23/2020,2/21/2020,22.49836,4,,,,,,,
631003030,4/24/2020,1.575375625,4/25/2020,5/12/2020,12.603005,3,,,,,,,
631003031,5/11/2020,5.496578333,5/16/2020,6/18/2020,43.97262667,3,,,,,,,
631003032,4/24/2020,6.1353825,4/30/2020,5/3/2020,49.08306,2,,,,,,,
631003033,2/13/2020,1.434352188,2/14/2020,6/23/2020,11.4748175,3,,,,,,,
631003034,5/12/2020,1.154656667,5/13/2020,6/4/2020,9.237253333,4,,,,,,,
631003035,5/12/2020,1.12857,5/13/2020,5/27/2020,9.02856,2,,,,,,,
631003037,5/14/2020,2.455361875,5/16/2020,5/29/2020,19.642895,4,,,,,,,
631003038,5/8/2020,2.203802083,5/10/2020,5/25/2020,17.63041667,3,,,,,,,
631003039,5/8/2020,3.412916625,5/11/2020,6/5/2020,27.303333,2,,,,,,,
631003040,1/16/2020,3.084614063,1/19/2020,2/19/2020,24.6769125,3,,,,,,,
631003041,1/16/2020,2.084614063,1/18/2020,2/7/2020,16.6769125,4,,,,,,,
631003042,5/8/2020,2.72204,5/10/2020,6/17/2020,21.77632,2,,,,,,,
